name,N,sd size,depth,minimal trapspaces,attractors,motif-avoidant-attractors
n10_0,10,2,1,1,1,0
n10_1,10,2,1,1,1,0
n10_10,10,2,1,1,1,0
n10_11,10,2,1,1,1,0
n10_12,10,2,1,1,1,0
n10_13,10,19,4,5,5,0
n10_14,10,2,1,1,1,0
n10_15,10,2,1,1,1,0
n10_16,10,3,1,2,2,0
n10_17,10,2,1,1,1,0
n10_18,10,1,0,1,1,0
n10_19,10,5,2,2,2,0
n10_2,10,4,2,2,2,0
n10_20,10,2,1,1,1,0
n10_21,10,9,3,5,5,0
n10_22,10,1,0,1,1,0
n10_23,10,2,1,1,1,0
n10_24,10,3,1,2,2,0
n10_25,10,3,1,2,2,0
n10_26,10,14,3,6,6,0
n10_27,10,2,1,1,1,0
n10_28,10,2,1,1,1,0
n10_29,10,1,0,1,1,0
n10_3,10,3,1,2,2,0
n10_30,10,5,2,3,3,0
n10_31,10,6,2,3,3,0
n10_32,10,2,1,1,1,0
n10_33,10,1,0,1,1,0
n10_34,10,2,1,1,1,0
n10_35,10,1,0,1,1,0
n10_36,10,1,0,1,1,0
n10_37,10,1,0,1,1,0
n10_38,10,18,3,6,6,0
n10_39,10,3,1,2,2,0
n10_4,10,6,3,3,3,0
n10_40,10,45,4,16,16,0
n10_41,10,5,2,2,2,0
n10_42,10,1,0,1,1,0
n10_43,10,3,1,2,2,0
n10_44,10,9,3,3,3,0
n10_45,10,2,1,1,1,0
n10_46,10,1,0,1,1,0
n10_47,10,2,1,1,1,0
n10_48,10,2,1,1,1,0
n10_49,10,3,1,2,2,0
n10_5,10,2,1,1,1,0
n10_50,10,3,1,2,2,0
n10_51,10,2,1,1,1,0
n10_52,10,2,1,1,1,0
n10_53,10,1,0,1,1,0
n10_54,10,8,3,2,2,0
n10_55,10,4,2,2,2,0
n10_56,10,1,0,1,1,0
n10_57,10,2,1,1,1,0
n10_58,10,6,2,3,3,0
n10_59,10,1,0,1,1,0
n10_6,10,3,1,2,2,0
n10_60,10,1,0,1,1,0
n10_61,10,2,1,1,1,0
n10_62,10,3,1,2,2,0
n10_63,10,3,1,2,2,0
n10_64,10,3,1,2,2,0
n10_65,10,2,1,1,1,0
n10_66,10,3,1,2,2,0
n10_67,10,9,2,4,4,0
n10_68,10,11,3,5,5,0
n10_69,10,1,0,1,1,0
n10_7,10,1,0,1,1,0
n10_70,10,3,1,2,2,0
n10_71,10,7,2,4,4,0
n10_72,10,1,0,1,1,0
n10_73,10,3,2,1,1,0
n10_74,10,2,1,1,1,0
n10_75,10,11,3,4,4,0
n10_76,10,5,2,2,2,0
n10_77,10,5,2,3,3,0
n10_78,10,1,0,1,1,0
n10_79,10,1,0,1,1,0
n10_8,10,1,0,1,1,0
n10_80,10,2,1,1,1,0
n10_81,10,3,1,2,2,0
n10_82,10,1,0,1,1,0
n10_83,10,3,1,2,2,0
n10_84,10,5,2,2,2,0
n10_85,10,1,0,1,1,0
n10_86,10,12,4,3,3,0
n10_87,10,3,1,2,2,0
n10_88,10,1,0,1,1,0
n10_89,10,3,1,2,2,0
n10_9,10,1,0,1,1,0
n10_90,10,1,0,1,1,0
n10_91,10,5,2,2,2,0
n10_92,10,3,1,2,2,0
n10_93,10,3,1,2,2,0
n10_94,10,3,1,2,2,0
n10_95,10,2,1,1,1,0
n10_96,10,3,2,1,1,0
n10_97,10,11,4,3,3,0
n10_98,10,3,1,2,2,0
n10_99,10,3,1,2,2,0
n1280_0,1280,29,4,8,8,0
n1280_1,1280,6,2,2,2,0
n1280_10,1280,1,0,1,1,0
n1280_11,1280,5,2,2,2,0
n1280_12,1280,1,0,1,1,0
n1280_13,1280,8,3,3,3,0
n1280_14,1280,9,2,4,4,0
n1280_15,1280,1,0,1,1,0
n1280_16,1280,5,2,2,2,0
n1280_17,1280,163,5,32,32,0
n1280_18,1280,14,3,6,6,0
n1280_19,1280,3,1,2,2,0
n1280_2,1280,10,3,2,2,0
n1280_20,1280,2,1,1,1,0
n1280_21,1280,2,1,1,1,0
n1280_22,1280,28,4,10,10,0
n1280_23,1280,27,3,8,8,0
n1280_24,1280,6,2,2,2,0
n1280_25,1280,18,3,6,6,0
n1280_26,1280,3,1,2,2,0
n1280_27,1280,5,2,2,2,0
n1280_28,1280,61,4,16,16,0
n1280_29,1280,7,2,4,4,0
n1280_3,1280,17,4,2,,
n1280_30,1280,6,2,3,3,0
n1280_31,1280,4,2,2,2,0
n1280_32,1280,5,2,2,2,0
n1280_33,1280,12,3,2,2,0
n1280_34,1280,3,1,2,2,0
n1280_35,1280,3,1,2,2,0
n1280_36,1280,15,3,4,4,0
n1280_37,1280,1,0,1,1,0
n1280_38,1280,6,2,3,3,0
n1280_39,1280,7,3,3,3,0
n1280_4,1280,3,1,2,2,0
n1280_40,1280,54,5,4,4,0
n1280_41,1280,6,2,3,3,0
n1280_42,1280,9,2,4,4,0
n1280_43,1280,3,1,2,2,0
n1280_44,1280,1,0,1,1,0
